House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
1,Scott Forks,Alice,Nicholson-Lowe,52,Head,Married,Female,Microbiologist,None,None
1,Scott Forks,Mitchell,Nicholson-Lowe,59,Husband,Married,Male,Homeopath,None,None
1,Scott Forks,Bernard,Nicholson-Lowe,14,Son,NA,Male,Student,None,NA
1,Scott Forks,Kieran,Nicholson-Lowe,13,Son,NA,Male,Student,None,NA
2,Scott Forks,Amy,Nicholls,41,Head,Married,Female,Publishing copy,None,Christian
2,Scott Forks,Raymond,Nicholls,43,Husband,Married,Male,Chemical engineer,None,Christian
2,Scott Forks,Beverley,Nicholls,12,Daughter,NA,Female,Student,None,NA
3,Scott Forks,Brenda,Price,76,Head,Married,Female,Retired Catering manager,None,Catholic
3,Scott Forks,Ryan,Price,78,Husband,Married,Male,"Retired Editor, magazine features",None,Catholic
4,Scott Forks,Megan,Singh,48,Head,Widowed,Female,Community arts worker,Mental Disability,Christian
4,Scott Forks,Arthur,Singh,20,Son,Single,Male,University Student,None,Christian
4,Scott Forks,Lee,Singh,16,Son,NA,Male,Student,None,NA
4,Scott Forks,Christian,Connor-Singh,16,Son,NA,Male,Student,None,NA
4,Scott Forks,Lorraine,Payne-Connor-Singh,14,Daughter,NA,Female,Student,None,NA
4,Scott Forks,Stewart,Wood-Payne-Connor-Singh,8,Son,NA,Male,Student,None,NA
5,Scott Forks,Sheila,Murphy,39,Head,Single,Female,Unemployed,None,Catholic
5,Scott Forks,Claire,Murphy,6,Daughter,NA,Female,Student,None,NA
5,Scott Forks,Tom,Murphy,1,Son,NA,Male,Child,None,NA
5,Scott Forks,Alex,Smith,59,Visitor,Divorced,Male,Lawyer,None,Muslim
6,Scott Forks,Jenna,Watts,65,Head,Married,Female,"Engineer, maintenance",None,Christian
6,Scott Forks,Abdul,Watts,66,Husband,Married,Male,Physiological scientist,None,None
6,Scott Forks,Liam,Watts,29,Son,Divorced,Male,"Engineer, chemical",None,None
6,Scott Forks,Natalie,Watts,26,Daughter,Divorced,Female,Pensions consultant,None,None
7,Scott Forks,Ricky,Davies,73,Head,Divorced,Male,"Retired Doctor, hospital",None,Muslim
7,Scott Forks,Aaron,Davies,41,Son,Single,Male,Immunologist,None,Muslim
7,Scott Forks,Jenna,Davies,38,Daughter,Single,Female,Trade mark attorney,None,None
7,Scott Forks,Steven,Davies,38,Son,Single,Male,Field trials officer,None,None
8,Scott Forks,Valerie,Doherty,31,Head,Married,Female,Human resources officer,None,None
8,Scott Forks,Albert,Doherty,34,Husband,Married,Male,Banker,None,None
8,Scott Forks,Reece,Doherty,3,Son,NA,Male,Child,None,NA
8,Scott Forks,Debra,Doherty,0,Daughter,NA,Female,Child,None,NA
9,Scott Forks,Catherine,Bennett,60,Head,Married,Female,Engineering geologist,None,Catholic
9,Scott Forks,Paul,Bennett,62,Husband,Married,Male,"Surveyor, planning and development",None,None
9,Scott Forks,Irene,Bennett,25,Daughter,Single,Female,Commercial art gallery manager,None,Catholic
9,Scott Forks,Kieran,Bennett,22,Son,Single,Male,University Student,None,None
9,Scott Forks,Nicole,Bennett,18,Daughter,Single,Female,Student,None,Catholic
9,Scott Forks,Anna,Bennett,16,Daughter,NA,Female,Student,None,NA
10,Scott Forks,Norman,Chapman,56,Head,Married,Male,Tour manager,None,None
10,Scott Forks,Kathryn,Chapman,53,Wife,Married,Female,Patent attorney,None,None
10,Scott Forks,Carl,Chapman,19,Son,Single,M,Chief Financial Officer,None,None
10,Scott Forks,Ricky,Chapman,14,Son,NA,Male,Student,None,NA
1,Fish Lane,Lindsey,Robson,52,Head,Divorced,Female,Advice worker,None,None
Two,Fish Lane,Gregory,Dixon,75,Head,Widowed,Male,Retired Barrister,None,Christian
3,Fish Lane,Jordan,Gray,36,Head,Single,Male,Metallurgist,None,Catholic
3,Fish Lane,Leslie,Gray,42,Cousin,Single,Male,"Physicist, medical",None,None
4,Fish Lane,Sylvia,Potter,31,Head,Married,Female,"Psychologist, occupational",None,None
4,Fish Lane,Harry,Potter,35,Husband,Married,Male,Manufacturing engineer,None,None
4,Fish Lane,Yvonne,Potter,19,Daughter,Single,Female,University Student,None,None
5,Fish Lane,Barbara,O'Neill,23,Head,Single,Female,"Psychologist, clinical",None,None
6,Fish Lane,Tom,Anderson,35,Head,Single,Male,"Engineer, civil (consulting)",None,Catholic
6,Fish Lane,Ann,Morgan,56,None,Single,Female,Unemployed,None,Christian
7,Fish Lane,Conor,Dean,59,Head,Single,Male,Agricultural engineer,None,Christian
7,Fish Lane,Sheila,Bates,49,None,Single,Female,Estate manager/land agent,None,Methodist
7,Fish Lane,Garry,Miller,31,None,Single,Male,Set designer,None,None
8,Fish Lane,Joseph,Miller,27,Head,Single,Male,Forest/woodland manager,None,Catholic
9,Fish Lane,William,Barry,89,Head,Married,Male,Retired Merchant navy officer,None,None
9,Fish Lane,Lauren,Barry,86,Wife,Married,Female,Retired Medical technical officer,None,None
10,Fish Lane,Lucy,Foster,29,Head,Single,Female,Pensions consultant,None,None
11,Fish Lane,Joe,Browne,34,Head,Single,Male,Retail merchandiser,None,None
12,Fish Lane,Aimee,Mitchell,38,Head,Single,Female,Unemployed,None,Christian
12,Fish Lane,Billy,Mitchell,11,Son,NA,male,Student,None,NA
13,Fish Lane,Charles,Patel,54,Head,Single,Male,"Administrator, arts",None,Methodist
14,Fish Lane,Naomi,Parker,52,Head,Divorced,Female,"Investment banker, corporate",None,Christian
14,Fish Lane,Alison,Parker,24,Daughter,Divorced,Female,International aid/development worker,None,None
15,Fish Lane,Kevin,Whitehead,44,Head,Single,Male,Tourism officer,None,Catholic
16,Fish Lane,Geraldine,Wilson,45,Head,Married,F,Agricultural consultant,None,Christian
16,Fish Lane,Ronald,Wilson,51,Husband,Married,Male,"Teacher, music",None,Christian
16,Fish Lane,Hugh,Wilson,22,Son,Single,Male,University Student,None,None
17,Fish Lane,Lynne,McDonald,54,Head,Single,Female,Exercise physiologist,None,None
18,Fish Lane,Barry,Osborne,55,Head,Single,Male,Lexicographer,None,Christian
19,Fish Lane,Shannon,Gallagher,47,Head,Divorced,Female,Oceanographer,None,None
19,Fish Lane,Shannon,Gallagher,21,Daughter,Divorced,Female,University Student,None,None
19,Fish Lane,Leon,Gallagher,19,Son,Single,Male,University Student,None,None
20,Fish Lane,Eric,McKenzie,57,Head,Married,Male,Actuary,None,None
20,Fish Lane,Ellie,McKenzie,52,Wife,Married,Female,Diplomatic Services operational officer,None,None
21,Fish Lane,Billy,Hughes,18,Head,Divorced,Male,Student,None,NA
22,Fish Lane,Ronald,West,66,Head,Widowed,male,"Engineer, energy",None,Catholic
23,Fish Lane,Stephen,Harrison,42,Head,Single,Male,"Designer, jewellery",None,None
24,Fish Lane,Leah,Stephens,68,Head,Widowed,Female,Retired Logistics and distribution manager,None,Methodist
25,Fish Lane,Abdul,Lawrence,78,Head,Single,male,Retired Dramatherapist,None,Methodist
26,Fish Lane,Liam,Anderson,72,Head,Divorced,Male,Retired Training and development officer,None,Christian
27,Fish Lane,Paige,Gardiner,59,Head,Single,Female,Unemployed,None,Methodist
27,Fish Lane,Bryan,Gardiner,14,Son,NA,Male,Student,None,NA
28,Fish Lane,Francesca,Marsh,38,Head,Single,Female,"Designer, ceramics/pottery",None,Catholic
28,Fish Lane,Anthony,Bowen,40,Partner,S,Male,Records manager,None,Catholic
29,Fish Lane,Shirley,Collins,45,Head,Single,Female,Unemployed,None,None
30,Fish Lane,Thomas,Burgess,33,Head,Married,Male,Unemployed,None,None
30,Fish Lane,Anna,Burgess,30,Wife,Married,Female,Financial planner,None,None
31,Fish Lane,Kyle,Francis,63,Head,Single,Male,Personnel officer,None,Methodist
32,Fish Lane,Kenneth,Davies,56,Head,Divorced,Male,Neurosurgeon,None,Methodist
33,Fish Lane,Denise,Rees,43,Head,Single,Female,Orthoptist,None,None
34,Fish Lane,Gemma,Cooper,50,Head,Divorced,Female,Fast food restaurant manager,None,Methodist
35,Fish Lane,Arthur,Mitchell,38,Head,Single,male,"Engineer, agricultural",None,Christian
36,Fish Lane,Jordan,Johnson,57,Head,Married,Male,Operational investment banker,None,Methodist
36,Fish Lane,Margaret,Johnson,55,Wife,Married,Female,"Civil engineer, consulting",None,Methodist
36,Fish Lane,Carolyn,Johnson,11,Granddaughter,NA,Female,Student,None,NA
37,Fish Lane,Howard,Briggs,52,Head,Single,Male,Data processing manager,None,Methodist
38,Fish Lane,Linda,Thompson,33,Head,Divorced,Female,Unemployed,None,None
38,Fish Lane,Damian,Thompson,4,Son,NA,Male,Child,None,NA
38,Fish Lane,Alison,Thompson,1,Daughter,NA,Female,Child,None,NA
39,Fish Lane,Helen,Hughes,71,Head,Widowed,Female,Retired Sports coach,None,None
40,Fish Lane,Rachel,White,57,Head,Single,Female,Armed forces training and education officer,None,Christian
40,Fish Lane,Frederick,Henderson,55,None,Single,Male,Geophysical data processor,None,None
41,Fish Lane,Donald,Miles,85,Head,Widowed,Male,Retired Newspaper journalist,None,Christian
